Nivel estudios (agregado)	Personas residentes viviendas familiares	Aragón	Nivel estudios (detalle)
Analfabetos	12881	Aragón	No sabe leer o escribir
Sin estudios	102856	Aragón	Sin estudios
Primer grado	257986	Aragón	Primer grado
Segundo grado	111537	Aragón	Bachillerato Superior
Segundo grado	288925	Aragón	ESO, EGB, Bachillerato Ele.
Segundo grado	53416	Aragón	FP Grado Medio
Segundo grado	53552	Aragón	FP Grado Superior
Tercer grado	78926	Aragón	Diplomatura
Tercer grado	5862	Aragón	Doctorado
Tercer grado	62504	Aragón	Licenciatura
