Año	CCAA código	CCAA nombre	Origen	Tipo de alojamiento	Plazas	Establecimientos
2009	02	Aragón	IAEST	Apartamentos turísticos	3594	834
2009	02	Aragón	IAEST	Campings y áreas de acampada	32305	97
2009	02	Aragón	IAEST	Hoteles, hostales y similares	43716	910
2009	02	Aragón	IAEST	Viviendas de turismo rural	8355	1103
2010	02	Aragón	IAEST	Apartamentos turísticos	5233	1218
2010	02	Aragón	IAEST	Campings y áreas de acampada	32765	97
2010	02	Aragón	IAEST	Hoteles, hostales y similares	45072	967
2010	02	Aragón	IAEST	Viviendas de turismo rural	9368	1220
2011	02	Aragón	IAEST	Apartamentos turísticos	5842	1359
2011	02	Aragón	IAEST	Campings y áreas de acampada	33976	102
2011	02	Aragón	IAEST	Hoteles, hostales y similares	45512	979
2011	02	Aragón	IAEST	Viviendas de turismo rural	9699	1265
2012	02	Aragón	IAEST	Apartamentos turísticos	6490	1520
2012	02	Aragón	IAEST	Campings y áreas de acampada	34063	101
2012	02	Aragón	IAEST	Hoteles, hostales y similares	45167	967
2012	02	Aragón	IAEST	Viviendas de turismo rural	10094	1317
2013	02	Aragón	IAEST	Apartamentos turísticos	6842	1605
2013	02	Aragón	IAEST	Campings y áreas de acampada	34132	99
2013	02	Aragón	IAEST	Hoteles, hostales y similares	45212	962
2013	02	Aragón	IAEST	Viviendas de turismo rural	10559	1368
2014	02	Aragón	IAEST	Apartamentos turísticos	7052	1675
2014	02	Aragón	IAEST	Campings y áreas de acampada	34572	100
2014	02	Aragón	IAEST	Hoteles, hostales y similares	45597	976
2014	02	Aragón	IAEST	Viviendas de turismo rural	10978	1418
2015	02	Aragón	IAEST	Apartamentos turísticos	7120	1696
2015	02	Aragón	IAEST	Campings y áreas de acampada	34021	102
2015	02	Aragón	IAEST	Hoteles, hostales y similares	45361	975
2015	02	Aragón	IAEST	Viviendas de turismo rural	11239	1450
2016	02	Aragón	IAEST	Apartamentos turísticos	7222	1738
2016	02	Aragón	IAEST	Campings y áreas de acampada	34208	104
2016	02	Aragón	IAEST	Hoteles, hostales y similares	45591	965
2016	02	Aragón	IAEST	Viviendas de turismo rural	11597	1491
2016	02	Aragón	IAEST	Viviendas de uso turístico	3975	634
2017	02	Aragón	IAEST	Apartamentos turísticos	7798	1867
2017	02	Aragón	IAEST	Campings y áreas de acampada	34357	105
2017	02	Aragón	IAEST	Hoteles, hostales y similares	45965	964
2017	02	Aragón	IAEST	Viviendas de turismo rural	12028	1543
2017	02	Aragón	IAEST	Viviendas de uso turístico	5862	934
