CCAA código	CCAA nombre	Año	División (2 dígitos) código	División (2 dígitos) descripción	Año
02	Aragón	2009	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	7507
02	Aragón	2009	02	Silvicultura y explotación forestal	142
02	Aragón	2009	05	Extracción de antracita, hulla y lignito	74
02	Aragón	2009	06	Extracción de crudo de petróleo y gas natural	3
02	Aragón	2009	07	Extracción de minerales metálicos	2
02	Aragón	2009	08	Otras industrias extractivas	328
02	Aragón	2009	10	Industria de la alimentación	1516
02	Aragón	2009	11	Fabricación de bebidas	246
02	Aragón	2009	13	Industria textil	256
02	Aragón	2009	14	Confección de prendas de vestir	504
02	Aragón	2009	15	Industria del cuero y del calzado	201
02	Aragón	2009	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	700
02	Aragón	2009	17	Industria del papel	85
02	Aragón	2009	18	Artes gráficas y reproducción de soportes grabados	558
02	Aragón	2009	20	Industria química	222
02	Aragón	2009	21	Fabricación de productos farmacéuticos	23
02	Aragón	2009	22	Fabricación de productos de caucho y plásticos	262
02	Aragón	2009	23	Fabricación de otros productos minerales no metálicos	572
02	Aragón	2009	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	74
02	Aragón	2009	25	Fabricación de productos metálicos, excepto maquinaria y equipo	2499
02	Aragón	2009	26	Fabricación de productos informáticos, electrónicos y ópticos	148
02	Aragón	2009	27	Fabricación de material y equipo eléctrico	239
02	Aragón	2009	28	Fabricación de maquinaria y equipo n.c.o.p.	625
02	Aragón	2009	29	Fabricación de vehículos de motor, remolques y semirremolques	258
02	Aragón	2009	30	Fabricación de otro material de transporte	38
02	Aragón	2009	31	Fabricación de muebles	733
02	Aragón	2009	32	Otras industrias manufactureras	347
02	Aragón	2009	33	Reparación e instalación de maquinaria y equipo	569
02	Aragón	2009	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1708
02	Aragón	2009	36	Captación, depuración y distribución de agua	50
02	Aragón	2009	37	Recogida y tratamiento de aguas residuales	144
02	Aragón	2009	38	Recogida, tratamiento y eliminación de residuos; valorización	118
02	Aragón	2009	39	Actividades de descontaminación y otros servicios de gestión de residuos	129
02	Aragón	2009	41	Construcción de edificios	8663
02	Aragón	2009	42	Ingeniería civil	1241
02	Aragón	2009	43	Actividades de construcción especializada	19395
02	Aragón	2009	45	Venta y reparación de vehículos de motor y motocicletas	3650
02	Aragón	2009	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	9942
02	Aragón	2009	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	24315
02	Aragón	2009	49	Transporte terrestre y por tubería	7996
02	Aragón	2009	50	Transporte marítimo y por vías navegables interiores	5
02	Aragón	2009	51	Transporte aéreo	18
02	Aragón	2009	52	Almacenamiento y actividades anexas al transporte	827
02	Aragón	2009	53	Actividades postales y de correos	202
02	Aragón	2009	55	Servicios de alojamiento	1929
02	Aragón	2009	56	Servicios de comidas y bebidas	11739
02	Aragón	2009	58	Edición	367
02	Aragón	2009	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	321
02	Aragón	2009	60	Actividades de programación y emisión de radio y televisión	96
02	Aragón	2009	61	Telecomunicaciones	148
02	Aragón	2009	62	Programación, consultoría y otras actividades relacionadas con la informática	1012
02	Aragón	2009	63	Servicios de información	145
02	Aragón	2009	64	Servicios financieros, excepto seguros y fondos de pensiones	1870
02	Aragón	2009	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	210
02	Aragón	2009	66	Actividades auxiliares a los servicios financieros y a los seguros	2615
02	Aragón	2009	68	Actividades inmobiliarias	13743
02	Aragón	2009	69	Actividades jurídicas y de contabilidad	4980
02	Aragón	2009	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	5193
02	Aragón	2009	72	Investigación y desarrollo	701
02	Aragón	2009	73	Publicidad y estudios de mercado	1002
02	Aragón	2009	74	Otras actividades profesionales, científicas y técnicas	2047
02	Aragón	2009	75	Actividades veterinarias	506
02	Aragón	2009	77	Actividades de alquiler	1773
02	Aragón	2009	78	Actividades relacionadas con el empleo	182
02	Aragón	2009	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	429
02	Aragón	2009	80	Actividades de seguridad e investigación	124
02	Aragón	2009	81	Servicios a edificios y actividades de jardinería	1256
02	Aragón	2009	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	3552
02	Aragón	2009	85	Educación	3385
02	Aragón	2009	86	Actividades sanitarias	3569
02	Aragón	2009	87	Asistencia en establecimientos residenciales	250
02	Aragón	2009	88	Actividades de servicios sociales sin alojamiento	197
02	Aragón	2009	90	Actividades de creación, artísticas y espectáculos	1369
02	Aragón	2009	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	209
02	Aragón	2009	92	Actividades de juegos de azar y apuestas	675
02	Aragón	2009	93	Actividades deportivas, recreativas y de entretenimiento	1016
02	Aragón	2009	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	1371
02	Aragón	2009	96	Otros servicios personales	5217
02	Aragón	2010	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	7084
02	Aragón	2010	02	Silvicultura y explotación forestal	141
02	Aragón	2010	05	Extracción de antracita, hulla y lignito	61
02	Aragón	2010	06	Extracción de crudo de petróleo y gas natural	3
02	Aragón	2010	07	Extracción de minerales metálicos	2
02	Aragón	2010	08	Otras industrias extractivas	328
02	Aragón	2010	09	Actividades de apoyo a las industrias extractivas	1
02	Aragón	2010	10	Industria de la alimentación	1514
02	Aragón	2010	11	Fabricación de bebidas	251
02	Aragón	2010	13	Industria textil	247
02	Aragón	2010	14	Confección de prendas de vestir	447
02	Aragón	2010	15	Industria del cuero y del calzado	189
02	Aragón	2010	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	672
02	Aragón	2010	17	Industria del papel	83
02	Aragón	2010	18	Artes gráficas y reproducción de soportes grabados	572
