Año	Renta disponible bruta	Código	Provincia
2017	15852825281	50	Zaragoza
2017	1929531837	44	Teruel
2017	3593146890	22	Huesca
2016	15374834816	50	Zaragoza
2016	1888008697	44	Teruel
2016	3465887494	22	Huesca
2015	14961723668	50	Zaragoza
2015	1830772290	44	Teruel
2015	3368072052	22	Huesca
2014	14573734257	50	Zaragoza
2014	1799588065	44	Teruel
2014	3299310675	22	Huesca
2013	14755222122	50	Zaragoza
2013	1821320647	44	Teruel
2013	3344858224	22	Huesca
2012	14646357838	50	Zaragoza
2012	1896180906	44	Teruel
2012	3469997271	22	Huesca
2011	15477074678	50	Zaragoza
2011	2019651703	44	Teruel
2011	3681770617	22	Huesca
2010	15258976632	50	Zaragoza
2010	1990236142	44	Teruel
2010	3635268220	22	Huesca
2009	15413361372	50	Zaragoza
2009	1971542165	44	Teruel
2009	3707584465	22	Huesca
2008	15609514547	50	Zaragoza
2008	1969609518	44	Teruel
2008	3712227920	22	Huesca
2007	14783123134	50	Zaragoza
2007	1848175463	44	Teruel
2007	3571305401	22	Huesca
2006	14045911491	50	Zaragoza
2006	1746246194	44	Teruel
2006	3379084323	22	Huesca
2005	13200431088	50	Zaragoza
2005	1641677856	44	Teruel
2005	3142023051	22	Huesca
2004	12385178415	50	Zaragoza
2004	1548994919	44	Teruel
2004	2959283674	22	Huesca
2003	11921353053	50	Zaragoza
2003	1465699558	44	Teruel
2003	2831905388	22	Huesca
2002	11151938164	50	Zaragoza
2002	1401646180	44	Teruel
2002	2672514657	22	Huesca
2001	10443046911	50	Zaragoza
2001	1298178949	44	Teruel
2001	2493124140	22	Huesca
2000	9801747581	50	Zaragoza
2000	1195899996	44	Teruel
2000	2284613423	22	Huesca
