Año	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)	CCAA
2020	1534	Leves	1	01	General	Aragón
2020	63	Leves	1	05	Trabajadores Autónomos	Aragón
2019	2103	Leves	1	01	General	Aragón
2019	56	Leves	1	05	Trabajadores Autónomos	Aragón
2018	2072	Leves	1	01	General	Aragón
2018	8	Leves	1	05	Trabajadores Autónomos	Aragón
2017	1982	Leves	1	01	General	Aragón
2016	1762	Leves	1	01	General	Aragón
2015	1607	Leves	1	01	General	Aragón
2015	4	Leves	1	05	Trabajadores Autónomos	Aragón
2014	1532	Leves	1	01	General	Aragón
2014	5	Leves	1	05	Trabajadores Autónomos	Aragón
2013	1595	Leves	1	01	General	Aragón
2013	1	Leves	1	05	Trabajadores Autónomos	Aragón
2012	1357	Leves	1	01	General	Aragón
2012	1	Leves	1	05	Trabajadores Autónomos	Aragón
2012	4	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2011	1599	Leves	1	01	General	Aragón
2011	2	Leves	1	05	Trabajadores Autónomos	Aragón
2011	12	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2010	1876	Leves	1	01	General	Aragón
2010	2	Leves	1	05	Trabajadores Autónomos	Aragón
2010	11	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2010	1	Leves	1	09	Especial Minería del Carbón	Aragón
2009	1783	Leves	1	01	General	Aragón
2009	4	Leves	1	05	Trabajadores Autónomos	Aragón
2009	20	Leves	1	06	Especial Agrario Cuenta Ajena	Aragón
2009	1	Leves	1	09	Especial Minería del Carbón	Aragón
2020	21	Graves o muy graves	2	01	General	Aragón
2019	14	Graves o muy graves	2	01	General	Aragón
2019	2	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2018	8	Graves o muy graves	2	01	General	Aragón
2017	28	Graves o muy graves	2	01	General	Aragón
2016	15	Graves o muy graves	2	01	General	Aragón
2015	17	Graves o muy graves	2	01	General	Aragón
2014	8	Graves o muy graves	2	01	General	Aragón
2013	14	Graves o muy graves	2	01	General	Aragón
2013	1	Graves o muy graves	2	05	Trabajadores Autónomos	Aragón
2012	8	Graves o muy graves	2	01	General	Aragón
2011	15	Graves o muy graves	2	01	General	Aragón
2011	2	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2010	36	Graves o muy graves	2	01	General	Aragón
2010	1	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena	Aragón
2009	18	Graves o muy graves	2	01	General	Aragón
2020	7	Mortales	3	01	General	Aragón
2019	2	Mortales	3	01	General	Aragón
2019	1	Mortales	3	05	Trabajadores Autónomos	Aragón
2018	11	Mortales	3	01	General	Aragón
2017	3	Mortales	3	01	General	Aragón
2016	2	Mortales	3	01	General	Aragón
2015	1	Mortales	3	01	General	Aragón
2014	3	Mortales	3	01	General	Aragón
2013	4	Mortales	3	01	General	Aragón
2011	4	Mortales	3	01	General	Aragón
2010	5	Mortales	3	01	General	Aragón
2010	1	Mortales	3	06	Especial Agrario Cuenta Ajena	Aragón
2009	6	Mortales	3	01	General	Aragón
2009	1	Mortales	3	06	Especial Agrario Cuenta Ajena	Aragón
