Provincia código	Provincia nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
22	Huesca	2008	220107	176265	133835	42430	3289	2704	127842	75,9282897909398
22	Huesca	2011	228566	175713	121711	54002	5393	8479	107839	69,2669295954198
22	Huesca	2015	224909	167329	121138	46191	4093	6076	110969	72,3951018651877
22	Huesca	2016	222909	166658	115932	50726	3227	3808	108897	69,5628172664979
44	Teruel	2008	144046	114212	87507	26705	2780	1515	83212	76,6180436381466
44	Teruel	2011	145277	112301	78805	33496	3525	4591	70689	70,1730171592417
44	Teruel	2015	140365	105452	77808	27644	2978	3633	71197	73,7852292986382
44	Teruel	2016	138932	104809	74870	29939	2455	2436	69979	71,434705034873
50	Zaragoza	2008	932502	725943	552523	173420	12839	12787	526897	76,1110720814169
50	Zaragoza	2011	973252	730496	518407	212089	19768	34584	464055	70,9664392412826
50	Zaragoza	2015	960111	713600	528726	184874	16431	25073	487222	74,092769058296
50	Zaragoza	2016	956006	710271	508571	201700	11526	14191	482854	71,602388384152
