Provincia código	Provincia nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
22	Huesca	2008	220107	176265	133835	42430	3289	2704	127842	75,9282897909398
22	Huesca	2011	228566	175713	121711	54002	5393	8479	107839	69,2669295954198
22	Huesca	2015	224909	167329	121138	46191	4093	6076	110969	72,3951018651877
22	Huesca	2016	222909	173546	116611	56935	3227	3828	109556	67,1931361137681
22	Huesca	2019	219345	172644	126329	46315	2909	2704	120716	73,1731192511758
44	Teruel	2008	144046	114212	87507	26705	2780	1515	83212	76,6180436381466
44	Teruel	2011	145277	112301	78805	33496	3525	4591	70689	70,1730171592417
44	Teruel	2015	140365	105452	77808	27644	2978	3633	71197	73,7852292986382
44	Teruel	2016	138932	109380	75190	34190	2457	2438	70295	68,7420003656976
44	Teruel	2019	134572	107734	79244	28490	2351	1781	75112	73,5552379007556
50	Zaragoza	2008	932502	725943	552523	173420	12839	12787	526897	76,1110720814169
50	Zaragoza	2011	973252	730496	518407	212089	19768	34584	464055	70,9664392412826
50	Zaragoza	2015	960111	713600	528726	184874	16431	25073	487222	74,092769058296
50	Zaragoza	2016	956006	734064	512962	221102	11568	14271	487123	69,8797380064953
50	Zaragoza	2019	954811	738231	559630	178601	11449	10367	537814	75,8068951317406
